Date_Time;h[m];h_nonsys_uncertainty[m];h_sys_resampling_indices;h_sys_uncertainty[m]
2022/06/01 02:36:40;0.457;0.01;0;0.01
2022/06/01 07:03:20;0.456;0.01;0;0.01
2022/06/01 13:15:00;0.456;0.01;0;0.01
2022/06/01 19:55:00;0.455;0.01;0;0.01
2022/06/02 02:23:20;0.454;0.01;0;0.01
2022/06/02 07:30:00;0.453;0.01;0;0.01
2022/06/02 12:23:20;0.453;0.01;0;0.01
2022/06/02 16:03:20;0.452;0.01;0;0.01
2022/06/02 19:46:40;0.452;0.01;0;0.01
2022/06/02 22:41:40;0.451;0.01;0;0.01
2022/06/03 01:46:40;0.45;0.01;0;0.01
2022/06/03 06:01:40;0.45;0.01;0;0.01
2022/06/03 12:03:20;0.45;0.01;0;0.01
2022/06/03 20:06:40;0.45;0.01;0;0.01
2022/06/04 02:46:40;0.45;0.01;0;0.01
2022/06/04 09:06:40;0.45;0.01;0;0.01
2022/06/04 14:13:20;0.451;0.01;0;0.01
2022/06/04 19:30:00;0.452;0.01;0;0.01
2022/06/04 22:40:00;0.452;0.01;0;0.01
2022/06/05 00:45:00;0.453;0.01;0;0.01
2022/06/05 02:11:40;0.452;0.01;0;0.01
2022/06/05 04:15:00;0.453;0.01;0;0.01
2022/06/05 05:56:40;0.455;0.01;0;0.01
2022/06/05 07:13:20;0.459;0.01;0;0.01
2022/06/05 07:55:00;0.462;0.01;0;0.01
2022/06/05 08:26:40;0.465;0.01;0;0.01
2022/06/05 08:56:40;0.467;0.01;0;0.01
2022/06/05 09:31:40;0.468;0.01;0;0.01
2022/06/05 10:21:40;0.467;0.01;0;0.01
2022/06/05 11:13:20;0.467;0.01;0;0.01
2022/06/05 12:03:20;0.469;0.01;0;0.01
2022/06/05 12:36:40;0.475;0.01;0;0.01
2022/06/05 13:01:40;0.483;0.01;0;0.01
2022/06/05 13:20:00;0.488;0.01;0;0.01
2022/06/05 13:40:00;0.491;0.01;0;0.01
